[I 211221 04:00:25 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:00:26 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:00:26 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:00:26 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:00:34 handlers:132] Browser Connected: http://127.0.0.1:8000/predict_result.html
[I 211221 04:00:36 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:01:09 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:01:13 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:01:38 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:01:41 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:01:42 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:01:42 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:01:43 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:02:00 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:02:01 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:02:02 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:03:10 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:03:14 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:03:18 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:03:24 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:03:29 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 04:03:31 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:03:38 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
